Date,Ticker,Open,Close,Volume,Low,High
4/20/2023,^SP500-30,788.81,792.75,118291100,788.67,794.81
4/19/2023,^SP500-30,794.11,792.29,97659000,790.36,794.62
4/18/2023,^SP500-30,790.44,792.68,96598700,787.87,793.36
4/17/2023,^SP500-30,787.67,790.1,100012700,785.82,790.14
4/14/2023,^SP500-30,788.35,785.47,100713800,783.26,791.42
4/13/2023,^SP500-30,786.56,790.06,112266900,782.77,790.64
4/12/2023,^SP500-30,788.74,785.7,115804400,784.83,791.9
4/11/2023,^SP500-30,788.44,789.24,110612000,788.16,791.45
4/10/2023,^SP500-30,784.46,787.34,100824500,780.04,787.36
4/6/2023,^SP500-30,784.89,787.45,119058000,782.72,788.89
4/5/2023,^SP500-30,785.28,786.82,148120500,785.28,789.72
4/4/2023,^SP500-30,784.63,782.48,124072600,781.03,787.22
4/3/2023,^SP500-30,781.06,784.39,134802900,778.24,785.93
3/31/2023,^SP500-30,777.72,780.38,140006300,776.75,780.43
3/30/2023,^SP500-30,774.22,773.93,114300800,771.47,775.99
3/29/2023,^SP500-30,771.44,771.29,115660000,769.34,771.74
3/28/2023,^SP500-30,766.2,767.18,120808600,766.01,771.2
3/27/2023,^SP500-30,764.8,765.48,131509700,764.8,768.98
3/24/2023,^SP500-30,750.92,761.34,131464800,750.65,761.96
3/23/2023,^SP500-30,753.13,749.13,149371800,746.26,756.38
3/22/2023,^SP500-30,759.96,752.38,126338600,752.31,763.71
3/21/2023,^SP500-30,763.1,759.84,140404800,754.63,763.41
3/20/2023,^SP500-30,753.8,760.78,148400300,753.8,761.28
3/17/2023,^SP500-30,754.91,750.63,277877400,746.65,755.03
3/16/2023,^SP500-30,754.24,755.19,142661600,750.08,756.02
3/15/2023,^SP500-30,745.98,755.75,156832300,744.59,756.48
3/14/2023,^SP500-30,746.79,750.65,142676300,743.79,751.29
3/13/2023,^SP500-30,740.56,744.68,159935700,740.56,755.65
3/10/2023,^SP500-30,746.14,741.17,119123700,738.23,748.91
3/9/2023,^SP500-30,754.76,744.56,111493700,742.54,755.31
3/8/2023,^SP500-30,750.47,751.67,108134000,747.12,752.37
3/7/2023,^SP500-30,758.94,750.78,121265300,749.33,760.78
3/6/2023,^SP500-30,753.87,758.17,113595000,753.74,759.03
3/3/2023,^SP500-30,754.61,755.69,110100900,749.13,756.5
3/2/2023,^SP500-30,745.46,755.09,116296900,744.86,756.77
3/1/2023,^SP500-30,749.12,746.03,120357100,740.32,750
2/28/2023,^SP500-30,753.96,751.73,153512100,751.09,755.86
2/27/2023,^SP500-30,762.23,757.41,103971200,755.9,764.16
2/24/2023,^SP500-30,758.55,758.81,94644700,753.78,759.88
2/23/2023,^SP500-30,765.66,763.31,100592200,758.8,767.3
2/22/2023,^SP500-30,767.98,764.96,117052900,762.96,772.45
2/21/2023,^SP500-30,765.69,767.01,141715300,762.69,770.81
2/17/2023,^SP500-30,760.04,769.6,126658200,759.59,769.9
2/16/2023,^SP500-30,760.54,759.8,114767700,755.84,764.57
2/15/2023,^SP500-30,762.94,765.89,100535400,759.66,765.96
2/14/2023,^SP500-30,771.06,764.47,112678200,762.05,771.26
2/13/2023,^SP500-30,764.99,771.64,105927100,764.99,771.77
2/10/2023,^SP500-30,757.28,762.7,116012500,753.96,763.09
2/9/2023,^SP500-30,763.37,755.67,113095300,754.59,764.94
2/8/2023,^SP500-30,760.7,757.91,105709900,756.99,761.19
2/7/2023,^SP500-30,761.07,764.28,125719200,756.35,765.51
2/6/2023,^SP500-30,766.19,767.03,123002300,764.36,768.41
6/27/2023,^SP500-50,211.23,213.6,251393900,210.45,214.63
6/26/2023,^SP500-50,215.28,211.23,229908700,211.11,215.65
6/23/2023,^SP500-50,215.81,215.28,324621600,213.34,215.94
6/22/2023,^SP500-50,213.36,215.81,199764900,211.37,215.86
6/21/2023,^SP500-50,216.29,213.36,250334700,212.68,216.29
6/20/2023,^SP500-50,216.92,216.29,235114400,214.44,217.37
6/16/2023,^SP500-50,219.12,216.92,515710200,216.66,220.07
6/15/2023,^SP500-50,215.8,219.12,283130000,214.45,219.84
6/14/2023,^SP500-50,215.52,215.8,256554400,213.31,217.03
6/13/2023,^SP500-50,214.93,215.52,234311300,214.67,217.36
6/12/2023,^SP500-50,212.39,214.93,222811100,212.39,215.16
6/9/2023,^SP500-50,212.11,212.39,233042000,211.81,214.12
6/8/2023,^SP500-50,211.55,212.11,253397800,210.31,213.01
6/7/2023,^SP500-50,215.58,211.55,357042600,211.23,218.09
6/6/2023,^SP500-50,214.52,215.58,239226900,213.86,216.77
6/5/2023,^SP500-50,213.29,214.52,275562000,212.97,216.49
6/2/2023,^SP500-50,213.08,213.29,426675800,211.64,214.25
6/1/2023,^SP500-50,210.66,213.08,274034300,210.66,213.35
5/31/2023,^SP500-50,210.77,210.66,475180900,209.22,211.38
5/30/2023,^SP500-50,210.92,210.77,290422500,209.39,212.64
5/26/2023,^SP500-50,207.37,210.92,307898400,206.53,211.14
5/25/2023,^SP500-50,206.48,207.37,399977700,206.39,209.82
5/24/2023,^SP500-50,207.14,206.48,253331100,205.2,207.45
5/23/2023,^SP500-50,210.85,207.73,272091700,207.73,210.9
5/22/2023,^SP500-50,208.37,210.85,263667000,208.37,212.5
5/19/2023,^SP500-50,209.44,208.41,270577000,207.61,211.69
5/18/2023,^SP500-50,205.76,209.44,296537700,205.76,209.72
5/17/2023,^SP500-50,203.36,205.76,240546600,203.08,206.72
5/16/2023,^SP500-50,202.16,203.36,259693800,201.37,204.4
5/15/2023,^SP500-50,202.22,202.16,253137200,201.6,203.36
5/12/2023,^SP500-50,201.84,202.22,261151000,201,202.71
5/11/2023,^SP500-50,200.05,201.84,369363900,199.39,203.18
5/10/2023,^SP500-50,195.26,198.56,315425700,194.78,199.39
5/9/2023,^SP500-50,196.28,195.26,248367100,195.07,197.6
5/8/2023,^SP500-50,193.81,196.28,221504800,193.44,196.63
5/5/2023,^SP500-50,191.9,193.81,294053800,191.17,194.24
5/4/2023,^SP500-50,194.34,191.9,301304200,191.65,194.34
5/3/2023,^SP500-50,194.67,194.34,234571000,194.12,197.26
5/2/2023,^SP500-50,198.2,194.67,243498200,193.29,198.2
5/1/2023,^SP500-50,198.35,198.2,225739000,196.98,199.13
4/28/2023,^SP500-50,197.28,198.35,280041100,195.46,198.37
4/27/2023,^SP500-50,186.95,197.28,357683200,186.95,198.03
4/26/2023,^SP500-50,188.12,186.95,336059700,186.69,190.37
4/25/2023,^SP500-50,191.14,188.12,272478600,188.1,191.14
4/24/2023,^SP500-50,191.16,191.14,240712300,190.05,192.32
4/21/2023,^SP500-50,190.55,191.16,266203700,189.63,191.44
4/20/2023,^SP500-50,192.02,190.55,325266100,189.83,192.36
4/19/2023,^SP500-50,193.42,192.02,214392900,190.87,193.42
4/18/2023,^SP500-50,194.68,193.42,200439700,193.13,195.66
4/17/2023,^SP500-50,197.18,194.68,205357100,193.2,197.18
4/14/2023,^SP500-50,196.57,197.18,193299700,195.02,197.25
4/13/2023,^SP500-50,192.09,196.57,223692900,192.09,196.61
4/12/2023,^SP500-50,193.82,192.09,217486700,191.89,195.78
4/11/2023,^SP500-50,194.65,193.82,195749200,193.6,195.52
4/10/2023,^SP500-50,196,194.65,180904700,192.67,196
4/6/2023,^SP500-50,192.71,196,266772200,191.28,196.69
4/5/2023,^SP500-50,193.13,192.71,231570000,191.45,194.06
4/4/2023,^SP500-50,192.54,193.13,226819200,191.91,193.86
4/3/2023,^SP500-50,191.53,192.54,215389700,189.67,192.69
3/31/2023,^SP500-50,187.63,191.53,236665800,187.63,191.67
3/30/2023,^SP500-50,187.03,187.63,202529000,186.43,187.82
3/29/2023,^SP500-50,184.84,187.03,194670200,184.84,187.22
3/28/2023,^SP500-50,186.74,184.84,199783600,183.74,186.74
3/27/2023,^SP500-50,188.77,186.74,207011200,185.96,188.99
3/24/2023,^SP500-50,188.27,188.77,260744800,186.53,188.96
3/23/2023,^SP500-50,184.88,188.27,254018800,184.88,189.85
3/22/2023,^SP500-50,187.93,184.88,232919600,184.85,190.4
3/21/2023,^SP500-50,183.44,187.93,248403300,183.44,188.25
3/20/2023,^SP500-50,182.56,183.44,226368900,181.49,184.05
3/17/2023,^SP500-50,183.43,182.56,797624500,181.54,184.79
3/16/2023,^SP500-50,178.48,183.43,386277100,177.6,183.66
3/15/2023,^SP500-50,175.84,178.48,339593200,173.6,179.03
3/14/2023,^SP500-50,171.13,175.84,316167800,171.13,176.09
3/13/2023,^SP500-50,170.71,171.13,336735300,168.18,173.38
3/10/2023,^SP500-50,173.18,170.71,310330400,170.01,173.82
3/9/2023,^SP500-50,177.12,173.18,271935000,172.56,178.73
3/8/2023,^SP500-50,176.78,177.12,244775000,176.19,178.34
3/7/2023,^SP500-50,178.83,176.78,263132700,176.32,179.98
3/6/2023,^SP500-50,178.02,178.83,274854300,178.02,181.04
